#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %     σ(gg→ ZH) (fb)
145.5    0.2554  +3.8    -3.8    +2.7    -2.7    25.22
146.0    0.2527  +3.8    -3.8    +2.7    -2.7    25.05
146.5    0.2497  +3.8    -3.8    +2.7    -2.7    24.88
147.0    0.2469  +3.8    -3.8    +2.7    -2.7    24.71
147.5    0.2442  +3.8    -3.8    +2.7    -2.7    24.54
148.0    0.2415  +3.8    -3.8    +2.7    -2.7    24.38
148.5    0.2387  +3.8    -3.8    +2.7    -2.7    24.22
149.0    0.2361  +3.8    -3.8    +2.7    -2.7    24.06
149.5    0.2334  +3.9    -3.9    +2.7    -2.7    23.90
150.0    0.2308  +3.9    -3.9    +2.7    -2.7    23.73
152.0    0.2207  +3.9    -3.9    +2.7    -2.7    23.09
154.0    0.2109  +4.0    -4.0    +2.8    -2.8    22.47
156.0    0.2010  +4.1    -4.1    +2.8    -2.8    21.86
158.0    0.1911  +4.1    -4.1    +2.8    -2.8    21.24
160.0    0.1816  +4.2    -4.2    +2.8    -2.8    20.59
162.0    0.1762  +4.2    -4.2    +2.8    -2.8    20.03
164.0    0.1708  +4.2    -4.2    +2.8    -2.8    19.43
165.0    0.1683  +4.2    -4.2    +2.8    -2.8    19.14
166.0    0.1649  +4.2    -4.2    +2.8    -2.8    18.87
168.0    0.1582  +4.3    -4.3    +2.8    -2.8    18.33
170.0    0.1518  +4.3    -4.3    +2.9    -2.9    17.79
172.0    0.1457  +4.3    -4.3    +2.9    -2.9    17.24
174.0    0.1398  +4.4    -4.4    +2.9    -2.9    16.69
175.0    0.1369  +4.4    -4.4    +2.9    -2.9    16.43
176.0    0.1340  +4.4    -4.4    +2.9    -2.9    16.17
178.0    0.1284  +4.5    -4.5    +2.9    -2.9    15.65
180.0    0.1231  +4.6    -4.6    +2.9    -2.9    15.14
182.0    0.1187  +4.6    -4.6    +2.9    -2.9    14.64
184.0    0.1145  +4.6    -4.6    +2.9    -2.9    14.16
185.0    0.1125  +4.5    -4.5    +2.9    -2.9    13.93
186.0    0.1103  +4.6    -4.6    +3.0    -3.0    13.70
188.0    0.1062  +4.6    -4.6    +3.0    -3.0    13.24
190.0    0.1022  +4.6    -4.6    +3.0    -3.0    12.79
192.0    0.09848     +4.6    -4.6    +3.0    -3.0    12.36
194.0    0.09489     +4.6    -4.6    +3.0    -3.0    11.92
195.0    0.09314     +4.6    -4.6    +3.0    -3.0    11.70
196.0    0.09146     +4.6    -4.6    +3.0    -3.0    11.49
198.0    0.08813     +4.6    -4.6    +3.0    -3.0    11.08
200.0    0.08491     +4.7    -4.7    +3.1    -3.1    10.67
202.0    0.08192     +4.7    -4.7    +3.1    -3.1    10.28
204.0    0.07896     +4.7    -4.7    +3.1    -3.1    9.894
206.0    0.07613     +4.7    -4.7    +3.1    -3.1    9.515
208.0    0.07344     +4.6    -4.6    +3.2    -3.2    9.145
210.0    0.07082     +4.6    -4.6    +3.2    -3.2    8.785
212.0    0.06834     +4.6    -4.6    +3.2    -3.2    8.434
214.0    0.06593     +4.6    -4.6    +3.2    -3.2    8.094
216.0    0.06366     +4.6    -4.6    +3.2    -3.2    7.766
218.0    0.06145     +4.6    -4.6    +3.2    -3.2    7.445
220.0    0.05933     +4.6    -4.6    +3.2    -3.2    7.130
222.0    0.05727     +4.5    -4.5    +3.3    -3.3    6.825
224.0    0.05529     +4.5    -4.5    +3.3    -3.3    6.528
226.0    0.05339     +4.5    -4.5    +3.3    -3.3    6.241
228.0    0.05156     +4.5    -4.5    +3.4    -3.4    5.965
230.0    0.04986     +4.5    -4.5    +3.4    -3.4    5.760
232.0    0.04816     +4.5    -4.5    +3.4    -3.4    5.493
234.0    0.04652     +4.4    -4.4    +3.4    -3.4    5.226
236.0    0.04494     +4.4    -4.4    +3.5    -3.5    4.984
238.0    0.04344     +4.3    -4.3    +3.5    -3.5    4.745
240.0    0.04199     +4.3    -4.3    +3.5    -3.5    4.517
242.0    0.04060     +4.2    -4.2    +3.5    -3.5    4.319
244.0    0.03926     +4.2    -4.2    +3.5    -3.5    4.107
246.0    0.03797     +4.2    -4.2    +3.5    -3.5    3.906
248.0    0.03672     +4.1    -4.1    +3.5    -3.5    3.715
250.0    0.03552     +4.1    -4.1    +3.5    -3.5    3.532
252.0    0.03437     +4.0    -4.0    +3.6    -3.6    3.355
254.0    0.03325     +4.0    -4.0    +3.6    -3.6    3.190
256.0    0.03215     +4.0    -4.0    +3.6    -3.6    3.018
258.0    0.03112     +3.9    -3.9    +3.7    -3.7    2.864
260.0    0.03012     +3.9    -3.9    +3.7    -3.7    2.719
262.0    0.02916     +3.8    -3.8    +3.7    -3.7    2.581
264.0    0.02823     +3.8    -3.8    +3.7    -3.7    2.452
266.0    0.02736     +3.7    -3.7    +3.8    -3.8    2.333
268.0    0.02649     +3.7    -3.7    +3.8    -3.8    2.208
270.0    0.02568     +3.7    -3.7    +3.8    -3.8    2.094
272.0    0.02488     +3.6    -3.6    +3.8    -3.8    1.987
274.0    0.02411     +3.6    -3.6    +3.8    -3.8    1.884
276.0    0.02337     +3.5    -3.5    +3.8    -3.8    1.788
278.0    0.02266     +3.5    -3.5    +3.9    -3.9    1.696
280.0    0.02198     +3.5    -3.5    +3.9    -3.9    1.609
282.0    0.02131     +3.4    -3.4    +3.9    -3.9    1.530
284.0    0.02066     +3.4    -3.4    +3.9    -3.9    1.447
286.0    0.02004     +3.4    -3.4    +3.9    -3.9    1.372
288.0    0.01945     +3.3    -3.3    +4.0    -4.0    1.300
290.0    0.01887     +3.3    -3.3    +4.0    -4.0    1.231
292.0    0.01830     +3.2    -3.2    +4.0    -4.0    1.167
294.0    0.01777     +3.2    -3.2    +4.0    -4.0    1.107
296.0    0.01725     +3.2    -3.2    +4.1    -4.1    1.049
298.0    0.01675     +3.1    -3.1    +4.1    -4.1    0.9953
300.0    0.01627     +3.1    -3.1    +4.1    -4.1    0.9462
305.0    0.01513     +3.0    -3.0    +4.2    -4.2    0.8255
310.0    0.01408     +2.9    -2.9    +4.2    -4.2    0.7207
315.0    0.01311     +2.9    -2.9    +4.3    -4.3    0.6296
320.0    0.01221     +2.8    -2.8    +4.3    -4.3    0.5500
325.0    0.01139     +2.8    -2.8    +4.3    -4.3    0.4818
330.0    0.01063     +2.7    -2.7    +4.4    -4.4    0.4229
335.0    0.009912    +2.7    -2.7    +4.4    -4.4    0.3722
340.0    0.009251    +2.7    -2.7    +4.5    -4.5    0.3288
345.0    0.008625    +2.6    -2.6    +4.5    -4.5    0.2943
350.0    0.008056    +2.6    -2.6    +4.5    -4.5    0.2680
360.0    0.007150    +2.7    -2.7    +4.7    -4.7    0.2290
370.0    0.006364    +2.7    -2.7    +4.9    -4.9    0.2010
380.0    0.005684    +2.8    -2.8    +5.0    -5.0    0.1810
390.0    0.005090    +2.8    -2.8    +5.0    -5.0    0.1653
400.0    0.004568    +2.8    -2.8    +5.0    -5.0    0.1531
