#mH (GeV)     Cross Section (pb)  +QCD Scale %    -QCD Scale %    +(PDF+αs) %     -(PDF+αs) %
119.0    0.1495  +3.9    -9.3    +8.1    -8.1
119.5    0.1477  +3.9    -9.3    +8.1    -8.1
120.0    0.1459  +3.9    -9.3    +8.1    -8.1
120.1    0.1456  +3.9    -9.3    +8.1    -8.1
120.2    0.1452  +3.9    -9.3    +8.1    -8.1
120.3    0.1449  +3.9    -9.3    +8.1    -8.1
120.4    0.1445  +3.9    -9.3    +8.1    -8.1
120.5    0.1441  +3.9    -9.3    +8.1    -8.1
120.6    0.1438  +3.9    -9.3    +8.1    -8.1
120.7    0.1434  +3.9    -9.3    +8.1    -8.1
120.8    0.1431  +3.9    -9.3    +8.1    -8.1
120.9    0.1427  +3.9    -9.3    +8.1    -8.1
121.0    0.1424  +3.9    -9.3    +8.1    -8.1
121.1    0.1420  +3.9    -9.3    +8.1    -8.1
121.2    0.1417  +3.9    -9.3    +8.1    -8.1
121.3    0.1414  +3.8    -9.3    +8.1    -8.1
121.4    0.1410  +3.8    -9.3    +8.1    -8.1
121.5    0.1407  +3.8    -9.3    +8.1    -8.1
121.6    0.1403  +3.8    -9.3    +8.1    -8.1
121.7    0.1400  +3.8    -9.3    +8.1    -8.1
121.8    0.1396  +3.8    -9.3    +8.1    -8.1
121.9    0.1393  +3.8    -9.3    +8.1    -8.1
122.0    0.1390  +3.8    -9.3    +8.1    -8.1
122.1    0.1386  +3.8    -9.3    +8.1    -8.1
122.2    0.1383  +3.8    -9.3    +8.1    -8.1
122.3    0.1380  +3.8    -9.3    +8.1    -8.1
122.4    0.1376  +3.8    -9.3    +8.1    -8.1
122.5    0.1373  +3.8    -9.3    +8.1    -8.1
122.6    0.1370  +3.8    -9.3    +8.1    -8.1
122.7    0.1366  +3.8    -9.3    +8.1    -8.1
122.8    0.1363  +3.8    -9.3    +8.1    -8.1
122.9    0.1360  +3.8    -9.3    +8.1    -8.1
123.0    0.1356  +3.8    -9.3    +8.1    -8.1
123.1    0.1353  +3.8    -9.3    +8.1    -8.1
123.2    0.1350  +3.8    -9.3    +8.1    -8.1
123.3    0.1347  +3.8    -9.3    +8.1    -8.1
123.4    0.1343  +3.8    -9.3    +8.1    -8.1
123.5    0.1340  +3.8    -9.3    +8.1    -8.1
123.6    0.1337  +3.8    -9.3    +8.1    -8.1
123.7    0.1334  +3.8    -9.3    +8.1    -8.1
123.8    0.1330  +3.8    -9.3    +8.1    -8.1
123.9    0.1327  +3.8    -9.3    +8.1    -8.1
124.0    0.1324  +3.8    -9.3    +8.1    -8.1
124.1    0.1321  +3.8    -9.3    +8.1    -8.1
124.2    0.1318  +3.8    -9.3    +8.1    -8.1
124.3    0.1314  +3.8    -9.3    +8.1    -8.1
124.4    0.1311  +3.8    -9.3    +8.1    -8.1
124.5    0.1308  +3.8    -9.3    +8.1    -8.1
124.6    0.1305  +3.8    -9.3    +8.1    -8.1
124.7    0.1302  +3.8    -9.3    +8.1    -8.1
124.8    0.1299  +3.8    -9.3    +8.1    -8.1
124.9    0.1296  +3.8    -9.3    +8.1    -8.1
125.0    0.1293  +3.8    -9.3    +8.1    -8.1
125.1    0.1290  +3.8    -9.3    +8.1    -8.1
125.2    0.1286  +3.8    -9.3    +8.1    -8.1
125.3    0.1283  +3.8    -9.3    +8.1    -8.1
125.4    0.1280  +3.8    -9.3    +8.1    -8.1
125.5    0.1277  +3.8    -9.3    +8.1    -8.1
125.6    0.1274  +3.8    -9.3    +8.1    -8.1
125.7    0.1271  +3.8    -9.3    +8.1    -8.1
125.8    0.1268  +3.8    -9.3    +8.1    -8.1
125.9    0.1265  +3.8    -9.3    +8.1    -8.1
126.0    0.1262  +3.8    -9.3    +8.1    -8.1
126.1    0.1259  +3.8    -9.3    +8.1    -8.1
126.2    0.1256  +3.8    -9.3    +8.1    -8.1
126.3    0.1253  +3.8    -9.3    +8.1    -8.1
126.4    0.1250  +3.8    -9.3    +8.1    -8.1
126.5    0.1247  +3.8    -9.3    +8.1    -8.1
126.6    0.1245  +3.8    -9.3    +8.1    -8.1
126.7    0.1242  +3.8    -9.3    +8.1    -8.1
126.8    0.1239  +3.8    -9.3    +8.1    -8.1
126.9    0.1236  +3.8    -9.3    +8.1    -8.1
127.0    0.1233  +3.8    -9.3    +8.1    -8.1
127.1    0.1230  +3.8    -9.3    +8.1    -8.1
127.2    0.1227  +3.7    -9.3    +8.1    -8.1
127.3    0.1224  +3.7    -9.3    +8.1    -8.1
127.4    0.1221  +3.7    -9.3    +8.1    -8.1
127.5    0.1218  +3.7    -9.3    +8.1    -8.1
127.6    0.1216  +3.7    -9.3    +8.1    -8.1
127.7    0.1213  +3.7    -9.3    +8.1    -8.1
127.8    0.1210  +3.7    -9.3    +8.1    -8.1
127.9    0.1207  +3.7    -9.3    +8.1    -8.1
128.0    0.1204  +3.7    -9.3    +8.1    -8.1
128.1    0.1201  +3.7    -9.3    +8.1    -8.1
128.2    0.1199  +3.7    -9.3    +8.1    -8.1
128.3    0.1196  +3.7    -9.3    +8.1    -8.1
128.4    0.1193  +3.7    -9.3    +8.1    -8.1
128.5    0.1190  +3.7    -9.2    +8.1    -8.1
128.6    0.1187  +3.7    -9.2    +8.1    -8.1
128.7    0.1185  +3.7    -9.2    +8.1    -8.1
128.8    0.1182  +3.7    -9.2    +8.1    -8.1
128.9    0.1179  +3.7    -9.2    +8.1    -8.1
129.0    0.1176  +3.7    -9.2    +8.1    -8.1
129.1    0.1174  +3.7    -9.2    +8.1    -8.1
129.2    0.1171  +3.7    -9.2    +8.1    -8.1
129.3    0.1168  +3.7    -9.2    +8.1    -8.1
129.4    0.1166  +3.7    -9.2    +8.1    -8.1
129.5    0.1163  +3.7    -9.2    +8.1    -8.1
129.6    0.1160  +3.7    -9.2    +8.1    -8.1
129.7    0.1157  +3.7    -9.2    +8.1    -8.1
129.8    0.1155  +3.7    -9.2    +8.1    -8.1
129.9    0.1152  +3.7    -9.2    +8.1    -8.1
130.0    0.1149  +3.7    -9.2    +8.1    -8.1
130.5    0.1136  +3.7    -9.2    +8.1    -8.1
131.0    0.1123  +3.7    -9.2    +8.1    -8.1
131.5    0.1110  +3.7    -9.2    +8.1    -8.1
132.0    0.1097  +3.7    -9.2    +8.1    -8.1
132.5    0.1085  +3.7    -9.2    +8.1    -8.1
133.0    0.1072  +3.7    -9.2    +8.1    -8.1
133.5    0.1060  +3.6    -9.2    +8.1    -8.1
134.0    0.1048  +3.6    -9.2    +8.1    -8.1
134.5    0.1036  +3.6    -9.2    +8.1    -8.1
135.0    0.1024  +3.6    -9.2    +8.1    -8.1
135.5    0.1013  +3.6    -9.2    +8.1    -8.1
136.0    0.1001  +3.6    -9.2    +8.1    -8.1
136.5    0.09898     +3.6    -9.2    +8.2    -8.2
137.0    0.09787     +3.6    -9.2    +8.2    -8.2
137.5    0.09677     +3.6    -9.2    +8.2    -8.2
138.0    0.09569     +3.6    -9.2    +8.2    -8.2
138.5    0.09462     +3.6    -9.2    +8.2    -8.2
139.0    0.09356     +3.6    -9.2    +8.2    -8.2
139.5    0.09252     +3.6    -9.2    +8.2    -8.2
140.0    0.09150     +3.6    -9.2    +8.2    -8.2
140.5    0.09049     +3.5    -9.2    +8.2    -8.2
141.0    0.08949     +3.5    -9.2    +8.2    -8.2
141.5    0.08851     +3.5    -9.2    +8.2    -8.2
142.0    0.08754     +3.5    -9.2    +8.2    -8.2
142.5    0.08659     +3.5    -9.2    +8.2    -8.2
143.0    0.08564     +3.5    -9.2    +8.2    -8.2
143.5    0.08471     +3.5    -9.2    +8.2    -8.2
144.0    0.08379     +3.5    -9.2    +8.2    -8.2
144.5    0.08289     +3.5    -9.2    +8.2    -8.2
145.0    0.08199     +3.5    -9.2    +8.2    -8.2
145.5    0.08111     +3.5    -9.2    +8.2    -8.2
146.0    0.08023     +3.5    -9.1    +8.2    -8.2
146.5    0.07937     +3.5    -9.1    +8.2    -8.2
147.0    0.07851     +3.5    -9.1    +8.2    -8.2
147.5    0.07767     +3.5    -9.1    +8.2    -8.2
148.0    0.07684     +3.5    -9.1    +8.2    -8.2
148.5    0.07602     +3.5    -9.1    +8.2    -8.2
149.0    0.07521     +3.5    -9.1    +8.2    -8.2
149.5    0.07440     +3.4    -9.1    +8.2    -8.2
150.0    0.07361     +3.4    -9.1    +8.2    -8.2
152.0    0.07053     +3.4    -9.1    +8.2    -8.2
154.0    0.06760     +3.4    -9.1    +8.2    -8.2
156.0    0.06485     +3.4    -9.1    +8.2    -8.2
158.0    0.06225     +3.4    -9.1    +8.3    -8.3
160.0    0.05978     +3.4    -9.1    +8.3    -8.3
162.0    0.05743     +3.4    -9.1    +8.3    -8.3
164.0    0.05519     +3.3    -9.1    +8.3    -8.3
165.0    0.05411     +3.3    -9.1    +8.3    -8.3
166.0    0.05304     +3.4    -9.1    +8.3    -8.3
168.0    0.05099     +3.4    -9.1    +8.3    -8.3
170.0    0.04904     +3.4    -9.1    +8.3    -8.3
172.0    0.04719     +3.4    -9.1    +8.3    -8.3
174.0    0.04543     +3.4    -9.1    +8.3    -8.3
175.0    0.04458     +3.4    -9.1    +8.3    -8.3
176.0    0.04375     +3.4    -9.1    +8.3    -8.3
178.0    0.04215     +3.4    -9.1    +8.4    -8.4
180.0    0.04061     +3.3    -9.1    +8.4    -8.4
182.0    0.03913     +3.3    -9.1    +8.4    -8.4
184.0    0.03772     +3.3    -9.1    +8.4    -8.4
185.0    0.03704     +3.3    -9.1    +8.4    -8.4
186.0    0.03638     +3.3    -9.1    +8.4    -8.4
188.0    0.03511     +3.4    -9.1    +8.4    -8.4
190.0    0.03390     +3.4    -9.1    +8.4    -8.4
192.0    0.03274     +3.4    -9.2    +8.4    -8.4
194.0    0.03164     +3.4    -9.2    +8.4    -8.4
195.0    0.03110     +3.4    -9.2    +8.5    -8.5
196.0    0.03058     +3.4    -9.2    +8.5    -8.5
198.0    0.02956     +3.4    -9.2    +8.5    -8.5
200.0    0.02858     +3.4    -9.2    +8.5    -8.5
202.0    0.02765     +3.5    -9.2    +8.5    -8.5
204.0    0.02676     +3.5    -9.2    +8.5    -8.5
206.0    0.02591     +3.5    -9.3    +8.5    -8.5
208.0    0.02509     +3.5    -9.3    +8.6    -8.6
210.0    0.02430     +3.6    -9.3    +8.6    -8.6
212.0    0.02354     +3.6    -9.3    +8.6    -8.6
214.0    0.02281     +3.6    -9.4    +8.6    -8.6
216.0    0.02211     +3.7    -9.4    +8.6    -8.6
218.0    0.02144     +3.7    -9.4    +8.6    -8.6
220.0    0.02080     +3.8    -9.4    +8.6    -8.6
222.0    0.02018     +3.8    -9.5    +8.7    -8.7
224.0    0.01959     +3.9    -9.5    +8.7    -8.7
226.0    0.01903     +3.9    -9.5    +8.7    -8.7
228.0    0.01848     +4.0    -9.6    +8.7    -8.7
230.0    0.01796     +4.0    -9.6    +8.7    -8.7
232.0    0.01745     +4.0    -9.6    +8.8    -8.8
234.0    0.01696     +4.0    -9.6    +8.8    -8.8
236.0    0.01649     +4.0    -9.6    +8.8    -8.8
238.0    0.01604     +4.0    -9.6    +8.8    -8.8
240.0    0.01561     +4.1    -9.7    +8.8    -8.8
242.0    0.01519     +4.1    -9.7    +8.8    -8.8
244.0    0.01479     +4.2    -9.7    +8.8    -8.8
246.0    0.01441     +4.3    -9.8    +8.9    -8.9
248.0    0.01404     +4.3    -9.8    +8.9    -8.9
250.0    0.01368     +4.4    -9.9    +8.9    -8.9
252.0    0.01333     +4.5    -9.9    +8.9    -8.9
254.0    0.01300     +4.6    -10.0   +8.9    -8.9
256.0    0.01268     +4.6    -10.0   +9.0    -9.0
258.0    0.01237     +4.7    -10.0   +9.0    -9.0
260.0    0.01206     +4.8    -10.1   +9.0    -9.0
262.0    0.01177     +4.9    -10.1   +9.0    -9.0
264.0    0.01149     +4.9    -10.2   +9.0    -9.0
266.0    0.01121     +5.0    -10.2   +9.0    -9.0
268.0    0.01095     +5.1    -10.3   +9.1    -9.1
270.0    0.01070     +5.2    -10.3   +9.1    -9.1
272.0    0.01045     +5.3    -10.4   +9.1    -9.1
274.0    0.01021     +5.4    -10.4   +9.1    -9.1
276.0    0.009984    +5.4    -10.5   +9.1    -9.1
278.0    0.009762    +5.5    -10.5   +9.2    -9.2
280.0    0.009547    +5.6    -10.6   +9.2    -9.2
282.0    0.009337    +5.7    -10.6   +9.2    -9.2
284.0    0.009133    +5.8    -10.7   +9.2    -9.2
286.0    0.008936    +5.9    -10.7   +9.2    -9.2
288.0    0.008744    +6.0    -10.8   +9.3    -9.3
290.0    0.008559    +6.1    -10.8   +9.3    -9.3
292.0    0.008381    +6.2    -10.9   +9.3    -9.3
294.0    0.008208    +6.2    -11.0   +9.3    -9.3
296.0    0.008041    +6.3    -11.0   +9.3    -9.3
298.0    0.007879    +6.4    -11.1   +9.4    -9.4
300.0    0.007721    +6.5    -11.1   +9.4    -9.4
305.0    0.007347    +6.5    -11.1   +9.5    -9.5
310.0    0.006999    +6.4    -11.1   +9.6    -9.6
315.0    0.006675    +6.2    -11.1   +9.7    -9.7
320.0    0.006371    +6.1    -11.1   +9.8    -9.8
325.0    0.006087    +6.2    -11.1   +10.0   -10.0
330.0    0.005821    +6.3    -11.2   +10.1   -10.1
335.0    0.005571    +6.5    -11.3   +10.2   -10.2
340.0    0.005337    +6.7    -11.4   +10.4   -10.4
345.0    0.005116    +6.8    -11.5   +10.5   -10.5
350.0    0.004909    +6.9    -11.6   +10.7   -10.7
360.0    0.004529    +7.2    -11.8   +10.9   -10.9
370.0    0.004192    +7.4    -12.0   +11.2   -11.2
380.0    0.003889    +7.7    -12.1   +11.4   -11.4
390.0    0.003615    +7.9    -12.3   +11.7   -11.7
400.0    0.003366    +8.1    -12.5   +12.0   -12.0
