#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %     W+H (pb)    W-H (pb)
121.2    0.7802  +1.0    -1.0    +2.3    -2.3    0.4917  0.2882
121.3    0.7782  +1.0    -1.0    +2.3    -2.3    0.4906  0.2874
121.4    0.7758  +1.0    -1.0    +2.4    -2.4    0.4891  0.2866
121.5    0.7737  +1.0    -1.0    +2.4    -2.4    0.4878  0.2859
121.6    0.7713  +1.0    -1.0    +2.4    -2.4    0.4867  0.2851
121.7    0.7697  +1.0    -1.0    +2.3    -2.3    0.4855  0.2842
121.8    0.7675  +1.0    -1.0    +2.3    -2.3    0.4844  0.2833
121.9    0.7653  +1.0    -1.0    +2.3    -2.3    0.4829  0.2827
122.0    0.7631  +1.0    -1.0    +2.3    -2.3    0.4815  0.2818
122.1    0.7612  +1.0    -1.0    +2.3    -2.3    0.4803  0.2810
122.2    0.7589  +1.0    -1.0    +2.3    -2.3    0.4789  0.2804
122.3    0.7573  +1.0    -1.0    +2.4    -2.4    0.4777  0.2796
122.4    0.7555  +1.0    -1.0    +2.4    -2.4    0.4764  0.2787
122.5    0.7533  +1.0    -1.0    +2.4    -2.4    0.4752  0.2780
122.6    0.7510  +1.0    -1.0    +2.4    -2.4    0.4739  0.2771
122.7    0.7493  +1.0    -1.0    +2.4    -2.4    0.4727  0.2765
122.8    0.7475  +1.0    -1.0    +2.4    -2.4    0.4712  0.2757
122.9    0.7453  +1.0    -1.0    +2.4    -2.4    0.4701  0.2750
123.0    0.7434  +1.0    -1.0    +2.4    -2.4    0.4692  0.2742
123.1    0.7414  +1.0    -1.0    +2.4    -2.4    0.4679  0.2733
123.2    0.7393  +1.0    -1.0    +2.4    -2.4    0.4666  0.2727
123.3    0.7374  +1.0    -1.0    +2.4    -2.4    0.4653  0.2719
123.4    0.7352  +1.0    -1.0    +2.4    -2.4    0.4642  0.2711
123.5    0.7334  +1.0    -1.0    +2.4    -2.4    0.4627  0.2703
123.6    0.7317  +1.0    -1.0    +2.4    -2.4    0.4614  0.2697
123.7    0.7294  +1.0    -1.0    +2.3    -2.3    0.4603  0.2690
123.8    0.7277  +1.0    -1.0    +2.3    -2.3    0.4593  0.2683
123.9    0.7259  +1.0    -1.0    +2.3    -2.3    0.4580  0.2674
124.0    0.7239  +0.9    -0.9    +2.3    -2.3    0.4568  0.2666
124.1    0.7218  +0.9    -0.9    +2.3    -2.3    0.4555  0.2659
124.2    0.7201  +1.0    -1.0    +2.3    -2.3    0.4546  0.2653
124.3    0.7181  +1.0    -1.0    +2.3    -2.3    0.4533  0.2646
124.4    0.7159  +1.0    -1.0    +2.3    -2.3    0.4521  0.2638
124.5    0.7143  +1.0    -1.0    +2.3    -2.3    0.4509  0.2631
124.6    0.7125  +1.0    -1.0    +2.3    -2.3    0.4497  0.2624
124.7    0.7105  +1.0    -1.0    +2.3    -2.3    0.4484  0.2616
124.8    0.7086  +1.0    -1.0    +2.3    -2.3    0.4473  0.2610
124.9    0.7065  +1.0    -1.0    +2.3    -2.3    0.4461  0.2602
125.0    0.7046  +1.0    -1.0    +2.3    -2.3    0.4450  0.2597
125.1    0.7027  +1.0    -1.0    +2.3    -2.3    0.4438  0.2589
125.2    0.7005  +1.0    -1.0    +2.4    -2.4    0.4427  0.2581
125.3    0.6988  +1.0    -1.0    +2.4    -2.4    0.4414  0.2574
125.4    0.6970  +1.0    -1.0    +2.4    -2.4    0.4404  0.2568
125.5    0.6951  +1.0    -1.0    +2.4    -2.4    0.4392  0.2559
125.6    0.6931  +1.0    -1.0    +2.4    -2.4    0.4379  0.2553
125.7    0.6913  +1.0    -1.0    +2.3    -2.3    0.4369  0.2547
125.8    0.6895  +1.0    -1.0    +2.3    -2.3    0.4359  0.2539
125.9    0.6878  +1.0    -1.0    +2.3    -2.3    0.4345  0.2532
126.0    0.6860  +1.0    -1.0    +2.3    -2.3    0.4335  0.2525
126.1    0.6838  +1.0    -1.0    +2.3    -2.3    0.4321  0.2518
126.2    0.6818  +1.0    -1.0    +2.3    -2.3    0.4310  0.2511
126.3    0.6802  +1.0    -1.0    +2.3    -2.3    0.4299  0.2504
126.4    0.6784  +1.0    -1.0    +2.3    -2.3    0.4288  0.2498
126.5    0.6767  +1.0    -1.0    +2.3    -2.3    0.4277  0.2490
126.6    0.6747  +1.0    -1.0    +2.3    -2.3    0.4266  0.2485
126.7    0.6731  +1.0    -1.0    +2.3    -2.3    0.4253  0.2476
126.8    0.6711  +1.0    -1.0    +2.3    -2.3    0.4243  0.2469
126.9    0.6693  +1.0    -1.0    +2.3    -2.3    0.4232  0.2464
127.0    0.6676  +1.0    -1.0    +2.3    -2.3    0.4220  0.2457
127.1    0.6658  +1.0    -1.0    +2.3    -2.3    0.4210  0.2449
127.2    0.6640  +1.0    -1.0    +2.3    -2.3    0.4199  0.2442
127.3    0.6623  +1.0    -1.0    +2.4    -2.4    0.4187  0.2435
127.4    0.6605  +1.0    -1.0    +2.4    -2.4    0.4177  0.2429
127.5    0.6588  +1.0    -1.0    +2.4    -2.4    0.4167  0.2423
127.6    0.6572  +1.0    -1.0    +2.4    -2.4    0.4155  0.2417
127.7    0.6553  +1.0    -1.0    +2.4    -2.4    0.4144  0.2410
127.8    0.6535  +1.0    -1.0    +2.4    -2.4    0.4135  0.2402
127.9    0.6518  +1.0    -1.0    +2.4    -2.4    0.4122  0.2396
128.0    0.6501  +1.0    -1.0    +2.4    -2.4    0.4113  0.2390
128.1    0.6485  +1.0    -1.0    +2.4    -2.4    0.4102  0.2384
128.2    0.6470  +1.0    -1.0    +2.4    -2.4    0.4093  0.2377
128.3    0.6448  +1.0    -1.0    +2.4    -2.4    0.4081  0.2371
128.4    0.6430  +1.0    -1.0    +2.4    -2.4    0.4072  0.2364
128.5    0.6415  +1.0    -1.0    +2.4    -2.4    0.4061  0.2357
128.6    0.6398  +1.0    -1.0    +2.4    -2.4    0.4050  0.2350
128.7    0.6380  +1.0    -1.0    +2.4    -2.4    0.4039  0.2344
128.8    0.6364  +1.0    -1.0    +2.3    -2.3    0.4028  0.2337
128.9    0.6344  +1.0    -1.0    +2.3    -2.3    0.4016  0.2332
129.0    0.6329  +1.0    -1.0    +2.3    -2.3    0.4005  0.2325
129.1    0.6310  +1.0    -1.0    +2.3    -2.3    0.3994  0.2319
129.2    0.6294  +1.0    -1.0    +2.3    -2.3    0.3986  0.2313
129.3    0.6278  +1.0    -1.0    +2.4    -2.4    0.3976  0.2307
129.4    0.6264  +1.0    -1.0    +2.4    -2.4    0.3965  0.2300
129.5    0.6247  +1.0    -1.0    +2.4    -2.4    0.3955  0.2294
129.6    0.6233  +1.0    -1.0    +2.4    -2.4    0.3945  0.2287
129.7    0.6216  +0.9    -0.9    +2.4    -2.4    0.3933  0.2282
129.8    0.6201  +0.9    -0.9    +2.4    -2.4    0.3922  0.2276
129.9    0.6185  +0.9    -0.9    +2.4    -2.4    0.3914  0.2269
130.0    0.6169  +0.9    -0.9    +2.4    -2.4    0.3904  0.2263
130.5    0.6085  +0.9    -0.9    +2.4    -2.4    0.3853  0.2232
131.0    0.6005  +1.0    -1.0    +2.4    -2.4    0.3804  0.2201
131.5    0.5929  +1.0    -1.0    +2.4    -2.4    0.3756  0.2175
132.0    0.5856  +1.0    -1.0    +2.4    -2.4    0.3708  0.2146
132.5    0.5778  +1.0    -1.0    +2.5    -2.5    0.3659  0.2116
133.0    0.5703  +1.0    -1.0    +2.5    -2.5    0.3613  0.2088
133.5    0.5632  +1.0    -1.0    +2.5    -2.5    0.3567  0.2061
134.0    0.5556  +1.0    -1.0    +2.5    -2.5    0.3522  0.2034
134.5    0.5487  +1.0    -1.0    +2.5    -2.5    0.3478  0.2006
135.0    0.5416  +1.0    -1.0    +2.5    -2.5    0.3433  0.1980
135.5    0.5347  +1.0    -1.0    +2.5    -2.5    0.3391  0.1954
136.0    0.5277  +1.0    -1.0    +2.5    -2.5    0.3349  0.1928
136.5    0.5210  +1.0    -1.0    +2.5    -2.5    0.3307  0.1903
137.0    0.5145  +1.0    -1.0    +2.4    -2.4    0.3267  0.1879
137.5    0.5080  +1.0    -1.0    +2.4    -2.4    0.3226  0.1855
138.0    0.5018  +1.0    -1.0    +2.4    -2.4    0.3188  0.1831
138.5    0.4955  +1.0    -1.0    +2.4    -2.4    0.3147  0.1807
139.0    0.4890  +1.0    -1.0    +2.4    -2.4    0.3108  0.1785
139.5    0.4829  +1.0    -1.0    +2.4    -2.4    0.3070  0.1760
140.0    0.4768  +1.0    -1.0    +2.4    -2.4    0.3032  0.1738
140.5    0.4709  +1.0    -1.0    +2.4    -2.4    0.2996  0.1716
141.0    0.4651  +1.0    -1.0    +2.4    -2.4    0.2960  0.1692
141.5    0.4596  +1.0    -1.0    +2.4    -2.4    0.2922  0.1672
142.0    0.4540  +1.0    -1.0    +2.5    -2.5    0.2887  0.1650
142.5    0.4484  +1.0    -1.0    +2.5    -2.5    0.2852  0.1629
143.0    0.4426  +1.0    -1.0    +2.5    -2.5    0.2818  0.1608
143.5    0.4376  +1.0    -1.0    +2.5    -2.5    0.2785  0.1588
144.0    0.4320  +1.0    -1.0    +2.5    -2.5    0.2751  0.1569
144.5    0.4266  +1.0    -1.0    +2.5    -2.5    0.2719  0.1549
145.0    0.4216  +1.0    -1.0    +2.4    -2.4    0.2686  0.1530
145.5    0.4164  +1.0    -1.0    +2.5    -2.5    0.2652  0.1510
146.0    0.4112  +1.0    -1.0    +2.5    -2.5    0.2621  0.1490
146.5    0.4061  +1.0    -1.0    +2.5    -2.5    0.2590  0.1471
147.0    0.4014  +1.0    -1.0    +2.5    -2.5    0.2557  0.1453
147.5    0.3962  +1.0    -1.0    +2.6    -2.6    0.2527  0.1435
148.0    0.3913  +1.0    -1.0    +2.6    -2.6    0.2499  0.1417
148.5    0.3868  +1.0    -1.0    +2.6    -2.6    0.2469  0.1400
149.0    0.3821  +1.0    -1.0    +2.6    -2.6    0.2439  0.1382
149.5    0.3774  +1.0    -1.0    +2.6    -2.6    0.2408  0.1364
150.0    0.3728  +1.0    -1.0    +2.6    -2.6    0.2381  0.1348
152.0    0.3546  +1.0    -1.0    +2.6    -2.6    0.2267  0.1280
154.0    0.3376  +1.0    -1.0    +2.6    -2.6    0.2160  0.1217
156.0    0.3202  +1.0    -1.0    +2.6    -2.6    0.2050  0.1152
158.0    0.3024  +1.0    -1.0    +2.5    -2.5    0.1939  0.1086
160.0    0.2855  +1.0    -1.0    +2.5    -2.5    0.1832  0.1025
162.0    0.2763  +1.0    -1.0    +2.6    -2.6    0.1772  0.09896
164.0    0.2675  +1.0    -1.0    +2.6    -2.6    0.1718  0.09565
165.0    0.2630  +1.0    -1.0    +2.6    -2.6    0.1691  0.09405
166.0    0.2575  +1.0    -1.0    +2.6    -2.6    0.1655  0.09193
168.0    0.2466  +1.0    -1.0    +2.7    -2.7    0.1586  0.08791
170.0    0.2362  +1.0    -1.0    +2.7    -2.7    0.1521  0.08405
172.0    0.2261  +1.0    -1.0    +2.7    -2.7    0.1457  0.08035
174.0    0.2165  +1.0    -1.0    +2.7    -2.7    0.1397  0.07683
175.0    0.2118  +1.0    -1.0    +2.7    -2.7    0.1368  0.07512
176.0    0.2076  +1.0    -1.0    +2.7    -2.7    0.1340  0.07356
178.0    0.1991  +1.0    -1.0    +2.7    -2.7    0.1286  0.07045
180.0    0.1911  +1.0    -1.0    +2.7    -2.7    0.1235  0.06752
182.0    0.1841  +1.0    -1.0    +2.7    -2.7    0.1190  0.06492
184.0    0.1774  +1.0    -1.0    +2.8    -2.8    0.1148  0.06249
185.0    0.1741  +1.0    -1.0    +2.8    -2.8    0.1127  0.06128
186.0    0.1707  +1.0    -1.0    +2.8    -2.8    0.1106  0.06004
188.0    0.1642  +1.1    -1.1    +2.8    -2.8    0.1064  0.05767
190.0    0.1579  +1.1    -1.1    +2.9    -2.9    0.1024  0.05535
192.0    0.1520  +1.1    -1.1    +2.9    -2.9    0.09873     0.05323
194.0    0.1464  +1.1    -1.1    +2.9    -2.9    0.09517     0.05117
195.0    0.1436  +1.1    -1.1    +2.9    -2.9    0.09344     0.05019
196.0    0.1409  +1.1    -1.1    +2.9    -2.9    0.09165     0.04920
198.0    0.1356  +1.1    -1.1    +2.9    -2.9    0.08826     0.04730
200.0    0.1305  +1.1    -1.1    +2.9    -2.9    0.08503     0.04545
202.0    0.1257  +1.1    -1.1    +2.9    -2.9    0.08201     0.04373
204.0    0.1211  +1.1    -1.1    +2.9    -2.9    0.07908     0.04207
206.0    0.1168  +1.1    -1.1    +2.9    -2.9    0.07632     0.04050
208.0    0.1127  +1.1    -1.1    +2.9    -2.9    0.07362     0.03899
210.0    0.1087  +1.1    -1.1    +3.0    -3.0    0.07105     0.03756
212.0    0.1048  +1.1    -1.1    +3.0    -3.0    0.06858     0.03616
214.0    0.1011  +1.1    -1.1    +3.0    -3.0    0.06623     0.03485
216.0    0.09761     +1.1    -1.1    +3.0    -3.0    0.06399     0.03360
218.0    0.09427     +1.1    -1.1    +3.0    -3.0    0.06181     0.03239
220.0    0.09098     +1.1    -1.1    +3.0    -3.0    0.05976     0.03124
222.0    0.08792     +1.1    -1.1    +3.1    -3.1    0.05778     0.03014
224.0    0.08496     +1.2    -1.2    +3.1    -3.1    0.05591     0.02908
226.0    0.08212     +1.2    -1.2    +3.1    -3.1    0.05403     0.02808
228.0    0.07940     +1.2    -1.2    +3.1    -3.1    0.05230     0.02710
230.0    0.07678     +1.2    -1.2    +3.1    -3.1    0.05061     0.02617
232.0    0.07424     +1.2    -1.2    +3.1    -3.1    0.04897     0.02527
234.0    0.07181     +1.2    -1.2    +3.1    -3.1    0.04740     0.02441
236.0    0.06944     +1.2    -1.2    +3.1    -3.1    0.04588     0.02357
238.0    0.06718     +1.2    -1.2    +3.2    -3.2    0.04442     0.02277
240.0    0.06501     +1.2    -1.2    +3.1    -3.1    0.04300     0.02201
242.0    0.06294     +1.2    -1.2    +3.2    -3.2    0.04167     0.02128
244.0    0.06094     +1.2    -1.2    +3.2    -3.2    0.04037     0.02057
246.0    0.05902     +1.2    -1.2    +3.2    -3.2    0.03912     0.01990
248.0    0.05719     +1.2    -1.2    +3.2    -3.2    0.03792     0.01924
250.0    0.05540     +1.2    -1.2    +3.3    -3.3    0.03678     0.01862
252.0    0.05367     +1.2    -1.2    +3.3    -3.3    0.03565     0.01802
254.0    0.05200     +1.2    -1.2    +3.3    -3.3    0.03457     0.01743
256.0    0.05040     +1.3    -1.3    +3.3    -3.3    0.03353     0.01688
258.0    0.04886     +1.3    -1.3    +3.4    -3.4    0.03252     0.01634
260.0    0.04738     +1.3    -1.3    +3.4    -3.4    0.03155     0.01582
262.0    0.04598     +1.3    -1.3    +3.4    -3.4    0.03065     0.01533
264.0    0.04461     +1.3    -1.3    +3.4    -3.4    0.02977     0.01486
266.0    0.04331     +1.3    -1.3    +3.4    -3.4    0.02890     0.01440
268.0    0.04205     +1.3    -1.3    +3.4    -3.4    0.02810     0.01397
270.0    0.04083     +1.3    -1.3    +3.5    -3.5    0.02730     0.01355
272.0    0.03964     +1.3    -1.3    +3.5    -3.5    0.02650     0.01312
274.0    0.03847     +1.3    -1.3    +3.5    -3.5    0.02574     0.01272
276.0    0.03733     +1.3    -1.3    +3.5    -3.5    0.02501     0.01233
278.0    0.03624     +1.3    -1.3    +3.5    -3.5    0.02430     0.01196
280.0    0.03519     +1.3    -1.3    +3.5    -3.5    0.02361     0.01160
282.0    0.03417     +1.3    -1.3    +3.6    -3.6    0.02295     0.01125
284.0    0.03320     +1.3    -1.3    +3.6    -3.6    0.02230     0.01091
286.0    0.03226     +1.3    -1.3    +3.6    -3.6    0.02168     0.01058
288.0    0.03134     +1.3    -1.3    +3.6    -3.6    0.02107     0.01027
290.0    0.03046     +1.3    -1.3    +3.6    -3.6    0.02050     0.009964
292.0    0.02960     +1.4    -1.4    +3.6    -3.6    0.01993     0.009678
294.0    0.02879     +1.4    -1.4    +3.7    -3.7    0.01940     0.009396
296.0    0.02799     +1.4    -1.4    +3.7    -3.7    0.01888     0.009124
298.0    0.02723     +1.4    -1.4    +3.7    -3.7    0.01837     0.008862
300.0    0.02649     +1.4    -1.4    +3.7    -3.7    0.01787     0.008611
305.0    0.02474     +1.4    -1.4    +3.8    -3.8    0.01673     0.008018
310.0    0.02313     +1.4    -1.4    +3.8    -3.8    0.01565     0.007468
315.0    0.02160     +1.5    -1.5    +3.9    -3.9    0.01464     0.006954
320.0    0.02019     +1.5    -1.5    +3.9    -3.9    0.01371     0.006481
325.0    0.01889     +1.5    -1.5    +3.9    -3.9    0.01285     0.006045
330.0    0.01769     +1.5    -1.5    +4.0    -4.0    0.01205     0.005642
335.0    0.01655     +1.5    -1.5    +4.1    -4.1    0.01129     0.005261
340.0    0.01550     +1.5    -1.5    +4.1    -4.1    0.01058     0.004912
345.0    0.01447     +1.6    -1.6    +4.2    -4.2    0.009898    0.004572
350.0    0.01352     +1.6    -1.6    +4.2    -4.2    0.009260    0.004258
360.0    0.01207     +1.6    -1.6    +4.4    -4.4    0.008293    0.003779
370.0    0.01076     +1.7    -1.7    +4.5    -4.5    0.007411    0.003348
380.0    0.009627    +1.7    -1.7    +4.6    -4.6    0.006648    0.002979
390.0    0.008629    +1.7    -1.7    +4.6    -4.6    0.005976    0.002655
400.0    0.007765    +1.7    -1.7    +4.6    -4.6    0.005390    0.002375
